,author_name,author_gender,birthplace,book_title
0,"Victoria Thompson
",female," United States
    ","
      Murder on St. Mark's Place
"
1,"Stieg Larsson
",male,"Sweden
    ","
      The Girl with the Dragon Tattoo
"
2,"Mimi Jean Pamfiloff
",female," United States
  ","
      Tailored for Trouble
"
3,"José Donoso
",male,"Chile
    ","
      The Obscene Bird of Night
"
4,"Patricia C. Wrede
",female," United States
    ","
      Sorcery & Cecelia: or The Enchanted Chocolate Pot
"
5,"Steve Niles
",male," United States
    ","
      30 Days of Night, Vol. 1
"
6,"Jillian Dodd
",female,"
  ","
      Stalk Me
"
7,"Mary Roach
",female," United States
  ","
      Bonk: The Curious Coupling of Science and Sex
"
8,"Nancy Baker
",female,"
  Canada
  ","
      Kiss of the Vampire
"
9,"Simone Elkeles
",female," United States
  ","
      Leaving Paradise
"
10,"Brandon Sanderson
",male," United States
  ","
      Firefight
"
11,"K.L. Armstrong
",male,"
  Canada
  ","
      Loki's Wolves
"
12,"Lisa Kleypas
",female," United States
  ","
      Devil in Winter
"
13,"Suzanne Collins
",female," United States
    ","
      Mockingjay
"
14,"Aldous Huxley
",male," United Kingdom
    ","
      Island
"
15,"Sandrine Gasq-Dion
",male," United States
    ","
      Dirty Ross
"
16,"Jamie Fessenden
",male,"
   United States
  ","
      Screwups
"
17,"Zarah Detand
",female,"
  ","
      Pull Me Under
"
18,"Kendall McKenna
",female," United States
  ","
      Strength of the Mate
"
19,"Rhys Ford
",female," United States
  ","
      Tequila Mockingbird
"
20,"Megan Derr
",female,"
   United States
  ","
      Of Last Resort
"
21,"Sam B. Morgan
",male,"
  ","
      Slow Burn
"
22,"Adrienne Wilder
",male," United States
  ","
      Complementary Colors
"
23,"Kate Sherwood
",male,"
  Canada
    ","
      Mark of Cain
"
24,"Piper Vaughn
",male,"
   United States
  ","
      Wood, Screws, & Nails
"
25,"Nick Pageant
",male,"
   United States
  ","
      Beauty And The Bookworm
"
26,"K.A. Mitchell
",female,"
   United States
  ","
      Bad Influence
"
27,"Sarina Bowen
",male,"
   United States
  ","
      The Understatement of the Year
"
28,"Cat Grant
",male,"
   United States
  ","
      The Only One Who Knows
"
29,"L.A. Witt
",female," United States
  ","
      Payoff
"
30,"Amy Rae Durreson
",female," United Kingdom
  ","
      Reawakening
"
31,"K.C. Wells
",female,"
  ","
      Personal Secrets
"
32,"Indra Vaughn
",female,"
  Belgium
  ","
      The House on Hancock Hill
"
33,"Rob Colton
",male,"
   United States
  ","
      Timber Pack Chronicles
"
34,"K.J. Charles
",male,"
   United Kingdom
  ","
      Remnant: A Caldwell & Feximal/Whyborne & Griffin Mystery
"
35,"Leta Blake
",female,"
  ","
      The River Leith
"
36,"Perie Wolford
",male,"
  ","
      Turning 16
"
37,"Heidi Cullinan
",female," United States
  ","
      Tough Love
"
38,"Veronica Sloane
",male,"
   United States
  ","
      Stories Beneath Our Skin
"
39,"Amy Lane
",female,"
  ","
      Beneath the Stain
"
40,"Josh Lanyon
",male," United States
    ","
      Fair Play
"
41,"Ais
",male,"
   United States
  ","
      1/27: An ICoS Anthology
"
42,"Tara Lain
",female," United States
  ","
      Wolf in Gucci Loafers
"
43,"Jordan L. Hawk
",male,"
   United States
  ","
      Bloodline
"
44,"Nicola Haken
",male," United Kingdom
  ","
      Being Sawyer Knight
"
45,"Alexa Land
",male,"
   United States
  ","
      Salvation
"
46,"Charlie Cochet
",female,"Cuba
  ","
      Rack & Ruin
"
47,"Mary Calmes
",female,"
   United States
  ","
      Control
"
48,"Diane  Adams
",male,"
   United States
  ","
      Last First Kiss
"
49,"Jaime Reese
",female,"
  ","
      A Hunted Man
"
50,"Keira Andrews
",female,"Canada
  ","
      A Forbidden Rumspringa
"
51,"Jay Northcote
",male,"
   United Kingdom
  ","
      Not Just Friends
"
52,"Lane Hayes
",female," United States
  ","
      Better Than Chance
"
53,"Renae Kaye
",female,"Australia
  ","
      The Shearing Gun
"
54,"Garrett Leigh
",female,"
   United Kingdom
  ","
      Only Love
"
55,"John  Wiltshire
",male," United Kingdom
  ","
      Love is a Stranger
"
56,"N.R. Walker
",female,"
  ","
      Red Dirt Heart 2
"
57,"S.E. Harmon
",female,"
  ","
      Stay with Me
"
58,"A.E. Via
",female," United States
  ","
      Nothing Special
"
59,"Jay Bell
",male,"
   United States
  ","
      Something Like Spring
"
60,"Jordan Castillo Price
",female,"
   United States
    ","
      Forget Me Not
"
61,"Nicole Edwards
",female," United States
    ","
      Ethan
"
62,"A.J.  Rose
",male,"
  
    ","
      Queers
"
63,"Mercy Celeste
",male,"
   United States
  ","
      Offside Chance
"
